DATE,AIRLINES,ORIGIN,DESTINATION,FLIGHT_NUMB,COLLY, WEIGHT,CUSTOMER,CUST_ID,SERVICE,COST_A,COST_B,COST_C,PRICE
01/Jul/2024,CITILINK,JAKARTA,MEDAN,QG-0916,5,"  72,00 ",PT DINDA SETIA KIRANA,DSK,PTP,9324,4343,2809,11300
01/Jul/2024,CITILINK,JAKARTA,BALIKPAPAN,QG-0436,1,"  15,00 ",PT FAJRI ABANGDA PRATAMA,FAP,PTP,15984,4343,1258,31200
01/Jul/2024,CITILINK,JAKARTA,MAKASSAR,QG-0426,6,"  77,00 ",PT FAJRI ABANGDA PRATAMA,FAP,PTP,13653,4343,1594,34800
01/Jul/2024,CITILINK,JAKARTA,BATAM,QG-0968,6,"  95,00 ",PT DINDA SETIA KIRANA,DSK,PTP,10545,4343,2280,11050
01/Jul/2024,CITILINK,JAKARTA,BALIKPAPAN,QG-0424,7,"  100,00 ",PT DINDA SETIA KIRANA,DSK,PTP,15984,4343,1258,22100
01/Jul/2024,CITILINK,JAKARTA,BANJARMASIN,QG-0482,2,"  17,00 ",PT DINDA SETIA KIRANA,DSK,PTP,13542,4343,1367,14200
01/Jul/2024,CITILINK,JAKARTA,BENGKULU,QG-0990,4,"  40,00 ",PT DINDA SETIA KIRANA,DSK,PTP,9213,4343,0,9120
01/Jul/2024,CITILINK,JAKARTA,BALIKPAPAN,QG-0424,9,"  157,00 ",PT DINDA SETIA KIRANA,DSK,PTP,15984,4343,1258,17200
01/Jul/2024,CITILINK,JAKARTA,MEDAN,QG-0910,5,"  89,00 ",PT FAJRI ABANGDA PRATAMA,FAP,PTP,9324,4343,2809,25400
01/Jul/2024,CITILINK,JAKARTA,PONTIANAK,QG-0414,1,"  10,00 ",PT DINDA SETIA KIRANA,DSK,PTP,10878,4343,2450,13585
01/Jul/2024,CITILINK,JAKARTA,BALIKPAPAN,QG-0436,1,"  18,00 ",PT DINDA SETIA KIRANA,DSK,PTP,15984,4343,1258,17200
01/Jul/2024,CITILINK,JAKARTA,MEDAN,QG-0912,2,"  21,00 ",PT DINDA SETIA KIRANA,DSK,PTP,9324,4343,2809,16000
01/Jul/2024,CITILINK,JAKARTA,PADANG,QG-0958,1,"  18,00 ",PT DINDA SETIA KIRANA,DSK,PTP,9768,4343,1621,11495
01/Jul/2024,CITILINK,JAKARTA,PADANG,QG-0952,2,"  21,00 ",PT FAJRI ABANGDA PRATAMA,FAP,PTP,9768,4343,1621,21400
01/Jul/2024,CITILINK,JAKARTA,BENGKULU,QG-0990,1,"  17,00 ",PT FAJRI ABANGDA PRATAMA,FAP,PTP,9213,4343,0,17900
01/Jul/2024,CITILINK,JAKARTA,BANJARMASIN,QG-0480,10,"  171,00 ",PT DINDA SETIA KIRANA,DSK,PTP,13542,4343,1367,14200
01/Jul/2024,CITILINK,JAKARTA,KENDARI,QG-0330,1,"  10,00 ",PT FAJRI ABANGDA PRATAMA,FAP,PTP,20424,4343,1665,39100
01/Jul/2024,CITILINK,JAKARTA,BALIKPAPAN,QG-0436,10,"  147,00 ",PT DINDA SETIA KIRANA,DSK,PTP,15984,4343,1258,17200
